AAR,HIGH,MED,LOW
1997,2300,2847,6723
1998,2410,2889,6933
1999,2631,2915,7058
2000,2684,3060,7085
2001,2727,2978,6699
2002,2831,3084,6617
2003,2816,3121,6504
2004,2838,3103,5969
2005,2873,3166,6049
2006,2946,3210,6055
2007,3013,3170,6174
2008,,3122,3334,6168
2009,3213,3411,6380
2010,3295,3245,6127
2011,4354,2115,6362
2012,4816,1878,6375
2013,4957,1788,6541
