AAR,HIGH,MED,LOW
1997,4647,5046,12669
1998,5129,5172,13270
1999,5731,5446,13605
2000,5999,5664,13966
2001,6418,5645,13693
2002,6943,6022,13383
2003,6796,5850,12866
2004,6760,6223,12173
2005,7024,6236,12392
2006,7139,6233,12434
2007,7493,6559,12297
2008,7792,6805,12545
2009,8440,6967,13491
2010,8663,6627,13292
2011,11158,4102,14420
2012,12282,3670,14903
2013,13103,3441,15152
