AAR,HIGH,MED,LOW
1997,2948,3464,7569
1998,3179,3590,7687
1999,3339,3744,7844
2000,3457,3876,7850
2001,3466,3839,7440
2002,3715,3988,7423
2003,3716,4024,7159
2004,3743,3962,6676
2005,3867,4092,6726
2006,3986,4148,6645
2007,4128,4207,6452
2008,4220,4386,6502
2009,4340,4611,6794
2010,4490,4405,6616
2011,6003,2740,6915
2012,6521,2469,7095
2013,6696,2409,7285
