AAR,HIGH,MED,LOW
1997,2600,3437,9389
1998,2833,3529,9690
1999,3084,3647,9803
2000,3147,3863,9849
2001,3247,3814,9262
2002,3473,3997,9195
2003,3545,3970,8950
2004,3555,4023,8354
2005,3770,4053,8530
2006,3852,4159,8332
2007,3981,4236,8323
2008,4223,4489,8484
2009,4460,4894,8766
2010,4677,4793,8701
2011,6264,3216,9156
2012,6857,2890,9244
2013,7157,2811,9541
