AAR,ALDERSKAT1,ALDERSKAT2,ALDERSKAT3,ALDERSKAT4,ALDERSKAT5,ALDERSKAT6
1997-2002,58,12247,20213,66106,3356,972
2003-2008,97,12009,17314,66715,5627,712
2009-2013,288,14641,15770,57361,6677,1246
