BYDEL,ALDER1,ALDER2,ALDER3,ALDER4,ALDER5,ALDER6
Indre By,53,3209,3666,11870,1368,354
Oesterbro,88,4670,5730,19545,1494,294
Noerrebro,85,6695,8184,15949,683,100
Vesterbro/Kgs. Enghave,42,3688,5072,15515,589,92
Valby,82,3051,3234,12174,857,111
Vanloese,52,2414,2412,10560,842,110
Broenshoej-Husum,82,1958,1362,8930,850,104
Bispebjerg,34,4202,4248,9850,656,106
Amager Oest,57,3802,4081,13013,710,112
Amager Vest,64,3851,4108,15657,970,137
