AAR,HIGH,MED,LOW
1997,2132,3139,11304
1998,2279,3355,11627
1999,2489,3561,11854
2000,2671,3751,11861
2001,2809,3779,11586
2002,3049,4153,11542
2003,3155,4181,11095
2004,3206,4534,10248
2005,3584,4569,10307
2006,3754,4964,10427
2007,4196,4901,10226
2008,4430,5271,10345
2009,4793,5567,10687
2010,4907,5367,10353
2011,6637,3512,10837
2012,7257,3063,11110
2013,7499,2874,11402
