AAR,HIGH,MED,LOW
1997,1950,2631,8037
1998,2114,2748,8327
1999,2362,2914,8730
2000,2487,3127,8969
2001,2642,3062,8666
2002,2826,3275,8834
2003,2843,3254,8712
2004,2842,3423,8180
2005,2983,3416,8375
2006,3072,3604,8559
2007,3458,3852,8676
2008,3735,4220,9134
2009,3961,4452,9604
2010,4091,4289,9299
2011,5651,2539,9903
2012,6145,2262,10246
2013,6439,2141,10516
