AAR,ALDERSKAT1,ALDERSKAT2,ALDERSKAT3,ALDERSKAT4,ALDERSKAT5,ALDERSKAT6
1997-2002,122,16027,17193,56618,1692,419
2003-2008,153,16439,19754,64303,2899,258
2009-2013,308,18561,19879,71839,4294,492
