AAR,HIGH,MED,LOW
1997,2206,2909,9320
1998,2419,2976,9571
1999,2620,3139,9685
2000,2836,3390,9721
2001,2811,3292,9307
2002,3079,3550,9240
2003,3037,3415,9095
2004,3116,3579,8617
2005,3433,3809,8815
2006,3836,4312,9247
2007,4616,4734,9587
2008,5098,5418,10042
2009,5662,5921,10449
2010,6003,5703,10275
2011,8014,3869,10956
2012,9112,3497,11125
2013,9743,3488,11556
