AAR,ALDERSKAT1,ALDERSKAT2,ALDERSKAT3,ALDERSKAT4,ALDERSKAT5,ALDERSKAT6
1997-2002,93,16816,19718,45133,1452,489
2003-2008,94,17241,22774,49789,2216,224
2009-2013,177,19370,20310,48155,3148,378
