BYDEL,HIGH,LOW,TOTAL
1,5869,6385,42388
2,7259,11941,65856
3,4647,12669,70847
4,2932,9370,48256
5,2600,9389,45335
6,2948,7569,35292
7,2300,6723,38560
8,1950,8037,43102
9,2132,11304,46748
10,2206,9320,44398
99,23,180,2876
