AAR,HIGH,MED,LOW
1997,7259,6770,11941
1998,7771,7034,12204
1999,8386,7414,12069
2000,8702,7555,12312
2001,8735,7463,11708
2002,9115,7549,11545
2003,9011,7515,11328
2004,8704,7528,10729
2005,8921,7592,10880
2006,9011,7604,10819
2007,9321,7917,10712
2008,9518,8082,10835
2009,10083,8406,11071
2010,10439,8115,10793
2011,13394,5162,11500
2012,14625,4703,11903
2013,15161,4548,12112
