BYDEL,HIGH,LOW,TOTAL
Indre By,10313,7472,20520
Østerbro,15161,12112,31821
Nørrebro,13103,15152,31696
Vesterbro/Kgs. Enghave,10847,11004,24998
Valby,7157,9541,19509
Vanløse,6696,7285,16390
Brønshøj-Husum,4957,6541,13286
Bispebjerg,6439,10516,19096
Amager Øst,7499,11402,21775
Amager Vest,9743,11556,24787
