BYDEL,HIGH,LOW,TOTAL
Indre By,10313,7472,20520
Oesterbro,15161,12112,31821
Noerrebro,13103,15152,76563
Vesterbro/Kgs. Enghave,10847,11004,59212
Valby,7157,9541,49656
Vanloese,6696,7285,38609
Broenshoej-Husum,4957,6541,42279
Bispebjerg,6439,10516,51488
Amager Oest,7499,11402,52457
Amager Vest,9743,11556,61659
