BYDEL,HIGH,LOW,TOTAL
1,10313,7472,50527
2,15161,12112,73388
3,13103,15152,76563
4,10847,11004,59212
5,7157,9541,49656
6,6696,7285,38609
7,4957,6541,42279
8,6439,10516,51488
9,7499,11402,52457
10,9743,11556,61659
99,196,283,3605
